igsn,campaign,kit_id,transect_location,ph
IEEXG00I6,EC1,K041,transition,5.01
IEEXG00I3,EC1,K041,upland,3.69
IEEXG00IM,EC1,K042,transition,5.99
IEEXG00IJ,EC1,K042,upland,6.78
IEEXG00IG,EC1,K042,wetland,6.49
IEEXG00JC,EC1,K044,wetland,6.36
IEEXG00JI,EC1,K044,transition,4.26
IEEXG00JF,EC1,K044,upland,4.3
IEEXG00JY,EC1,K045,transition,4.24
IEEXG00JV,EC1,K045,upland,3.74
IEEXG00JS,EC1,K045,wetland,4.66
IEEXG00K8,EC1,K046,wetland,5.49
IEEXG00KB,EC1,K046,upland,4.67
IEEXG00KU,EC1,K047,transition,6.19
IEEXG00KR,EC1,K047,upland,5.11
IEEXG00KO,EC1,K047,wetland,6.34
IEEXG00LA,EC1,K048,transition,5.59
IEEXG00L7,EC1,K048,upland,5.28
IEEXG00L4,EC1,K048,wetland,6.16
IEEXG00LQ,EC1,K049,transition,6.49
IEEXG00LN,EC1,K049,upland,5.16
IEEXG00LK,EC1,K049,wetland,6.83
IEEXG00M6,EC1,K050,transition,6.06
IEEXG00M3,EC1,K050,upland,3.93
IEEXG00M0,EC1,K050,wetland,4.72
IEEXG00MJ,EC1,K051,upland,4.82
IEEXG00MG,EC1,K051,wetland,6.23
IEEXG00MM,EC1,K051,transition,5.5
IEEXG00N2,EC1,K052,transition,5.68
IEEXG00MZ,EC1,K052,upland,4.93
IEEXG00NI,EC1,K053,transition,5.6
IEEXG00NF,EC1,K053,upland,4.86
IEEXG00NC,EC1,K053,wetland,6.85
IEEXG00NV,EC1,K054,upland,3.95
IEEXG00NY,EC1,K054,transition,3.96
IEEXG00NS,EC1,K054,wetland,5.43
IEEXG00OB,EC1,K055,upland,4.04
IEEXG00OU,EC1,K056,transition,5.33
IEEXG00OR,EC1,K056,upland,4.48
IEEXG00OO,EC1,K056,wetland,6.44
IEEXG00PK,EC1,K058,wetland,6.03
IEEXG00PQ,EC1,K058,transition,5.6
IEEXG00PN,EC1,K058,upland,3.34
IEEXG00Q0,EC1,K059,wetland,6.11
